transcript_id	gene_name	baseMean	gcn2ko_arg_6h.vs.gcn2ko_rich_6h	gcn2ko_leu_6h.vs.gcn2ko_rich_6h	hct116_arg_3h.vs.hct116_rich_3h	hct116_leu_3h.vs.hct116_rich_3h	hela_arg_mono_3h.vs.hela_rich_mono_3h	hela_leu_mono_3h.vs.hela_rich_mono_3h	hrgfp_arg_6h.vs.hrgfp_rich_6h	hrgfp_leu_6h.vs.hrgfp_rich_6h	ragbq99l_arg_6h.vs.ragbq99l_rich_6h	ragbq99l_leu_6h.vs.ragbq99l_rich_6h	X293t_arg_6h.vs.X293t_rich_6h	X293t_hrgfp_arg_3h.vs.X293t_hrgfp_rich_3h	X293t_hrgfp_argtorin1_3h.vs.X293t_hrgfp_rich_3h	X293t_hrgfp_leu_3h.vs.X293t_hrgfp_rich_3h	X293t_hrgfp_leutorin1_3h.vs.X293t_hrgfp_rich_3h	X293t_hrgfp_richtorin1_3h.vs.X293t_hrgfp_rich_3h	X293t_leu_6h.vs.X293t_rich_6h
ENST00000005178.5	PDK4	204	-1.444	-0.529	0.838	0.733	-0.058	0.212	1.259	1.331	1.03	0.77	1.327	0.004	-0.67	-0.423	0.25	0.79	1.015
ENST00000005226.11	USH1C	62	-1.044	-0.498	0.199	0.563	0.002	-0.068	-0.82	-0.062	-0.04	-0.203	-0.065	0.471	-0.652	0.084	-0.075	0.349	-0.178
ENST00000005257.6	RALA	283	0.321	-0.591	-0.839	-0.579	-0.669	-0.298	-0.432	-0.242	-0.374	-0.191	-0.049	-0.451	-0.369	-0.289	-0.43	-0.508	-0.217
ENST00000005260.8	BAIAP2L1	272	-0.137	-0.3	-0.05	-0.272	-0.045	-0.116	0.135	0.032	-0.22	-0.078	-0.187	-0.181	0.004	-0.036	-0.037	0.018	-0.026
ENST00000005286.8	TMEM132A	298	0.156	0.147	-0.283	-0.087	0.234	-0.19	0.191	0.32	0.044	0.02	-0.191	0.134	-0.809	-0.108	-0.187	-0.418	0.201
ENST00000005340.9	DVL2	340	0.238	0.264	0.811	0.538	0.539	0.412	0.275	0.383	0.386	0.643	0.364	0.212	0.217	0.221	0.341	0.479	0.699
ENST00000005386.7	RPAP3	657	-0.06	-0.183	0.175	0.103	-0.07	0.243	-0.01	-0.456	-0.054	0.037	0.121	-0.456	-0.121	-0.255	-0.24	0.016	0.048
ENST00000005558.8	IFRD1	586	-2.582	-1.834	1.872	1.346	3.121	2.23	2.433	2.007	2.246	2.537	2.498	1.371	0.649	1.385	0.706	0.787	2.228
ENST00000006015.3	HOXA11	157	0.058	0.364	-0.332	0.028	-0.242	0.166	0.097	-0.111	0.013	-0.018	0.281	0.547	0.564	0.56	0.365	0.507	-0.105
ENST00000006777.10	RHBDD2	301	0.201	0.266	0.037	-0.048	-0.137	-0.321	0.199	0.328	0.122	-0.048	0.254	0.209	-0.077	0.173	-0.184	-0.125	0.164
ENST00000007264.6	RPUSD1	123	0.531	-0.607	-0.395	-0.395	-0.626	-0.317	0.265	-0.028	0.107	-0.604	-0.199	0.108	-0.412	-0.149	-0.167	-0.312	-0.703
ENST00000007390.2	TSR3	207	0.1	0.347	-0.289	-0.479	-0.936	-0.555	-0.33	0.214	-0.319	-0.483	-0.584	-0.427	-0.703	-0.479	-0.064	-0.606	-0.254
ENST00000007516.7	NDUFAB1	1658	-1.37	-0.55	-0.655	-0.054	-0.645	-0.211	-0.717	-0.085	-1.035	-0.504	-0.79	-0.737	-0.773	-0.274	-0.471	-0.562	-0.257
ENST00000007722.11	ITGA3	320	-1.307	-0.69	-0.067	0.199	0.268	0.392	0.139	0.17	-0.233	-0.171	0.458	0.204	0.307	0.707	0.795	0.356	-0.248
ENST00000008527.9	CRY1	191	-1.768	-0.549	-0.817	-0.267	-0.134	-0.071	0.122	0.446	-0.924	-0.191	0.012	-0.283	0.448	0.123	0.154	0.443	0.502
ENST00000009041.11	STARD3NL	173	-0.079	-0.165	-0.601	0.011	-1.317	-0.249	-0.716	-0.241	-0.956	-0.55	-0.62	-0.682	0.238	-0.116	0.189	-0.558	-0.125
ENST00000009180.8	CD9	744	-0.748	-0.322	-0.045	0.094	-0.248	-0.076	-0.56	-0.383	-0.973	-0.503	-0.461	-0.502	-0.313	-0.237	-0.174	-0.232	-0.304
ENST00000009589.7	RPS20	3925	0.494	0.545	-0.572	-0.508	-0.241	-0.333	-0.977	-1.226	-0.43	-0.764	-0.927	-1.372	-3.66	-1.548	-3.103	-3.356	-1.466
ENST00000010132.6	DYRK4	141	0.926	-0.064	-0.273	-0.237	0.11	0.071	0.665	0.669	0.786	0.261	0.482	0.388	0.037	0.304	-0.011	-0.043	0.084
ENST00000010404.6	MGST1	1458	-0.763	-0.207	-0.756	-0.123	-0.612	-0.26	-0.38	-0.219	-0.43	-0.206	-0.537	-0.301	-0.255	0.017	-0.039	-0.31	-0.278
ENST00000011473.6	SYPL1	895	-0.92	-0.374	-0.35	-0.007	-0.61	-0.072	-1.055	-0.773	-1.248	-0.669	-1.049	-0.856	-0.469	-0.238	-0.368	-0.42	-0.575
ENST00000011619.5	RANBP9	383	-0.728	-0.669	0.067	0.25	0.067	-0.104	-0.109	-0.156	-0.429	-0.25	-0.264	-0.287	0.159	-0.015	0.165	0.241	-0.174
ENST00000011691.4	SS18L2	139	0.258	0.564	-0.682	-0.432	-0.37	-0.279	-0.324	-0.368	-0.447	-0.477	-0.552	-0.519	-1.115	-0.373	-0.43	-0.889	-0.206
ENST00000011898.9	TSPAN9	67	-0.471	-0.069	-0.133	0.437	-1.171	0.256	-0.632	0.204	-0.442	0.18	-0.333	-0.173	0.011	-0.113	0.017	-0.001	-0.1
ENST00000012049.9	QPCTL	148	-0.981	-0.206	-0.052	0.122	-0.361	-0.005	-0.479	0.189	-0.768	-0.255	-0.691	0.081	-0.185	0.174	0.332	-0.014	0.03
ENST00000012134.6	HIVEP2	68	-0.477	-0.002	1.06	0.357	0.758	0.107	0.083	-0.367	-0.569	-0.493	0.61	0.068	0.686	0.035	0.597	0.572	0.514
ENST00000012443.8	PPP5C	956	0.289	0.057	0.016	-0.041	0.096	0.053	-0.038	-0.026	-0.106	-0.006	0.035	0.014	-0.006	0.048	0.02	-0.123	0.023
ENST00000013070.10	UBR7	461	0.079	0.036	0.283	0.207	0.202	0.112	-0.046	0.368	-0.004	0.259	0.059	0.016	0.383	0.165	0.373	0.283	0.015
ENST00000014914.5	GPRC5A	1433	0.162	0.23	0.618	0.525	-0.135	0.203	0.021	0.038	0.004	-0.001	-0.326	-0.488	-0.541	-0.03	-0.357	-0.149	-0.371
ENST00000014930.8	HEBP1	271	-0.48	-0.447	-0.046	-0.172	-0.263	0.019	-0.127	0.057	0.062	-0.21	-0.134	-0.337	-0.641	-0.107	-0.4	-0.491	-0.131
ENST00000014935.7	DNASE1L1	39	-0.975	0.616	0.047	0.318	-0.327	-0.634	-0.502	0.584	0.213	0.507	-1.186	0.288	0.421	0.48	0.593	0.461	0.333
ENST00000016171.5	COX15	464	0.157	0.49	0.205	0.4	0.019	0.084	0.074	0.152	0.23	0.454	0	0.268	0.173	0.224	0.097	0.258	0.277
ENST00000016946.7	RGPD5	35	-0.481	-0.319	0.475	-0.46	2.017	-1.76	-1.28	0.557	0.452	-1.586	-0.12	1.055	-0.311	1.965	0.566	-1.425	1.441
ENST00000017003.6	XYLT2	89	-0.012	0.045	0.013	0.43	0.414	0.356	0.006	0.099	0.37	0.005	-0.298	0.446	-0.363	0.059	0.2	0.039	0.107
ENST00000019317.8	RALBP1	163	-0.491	0.225	-0.235	-0.17	-1.101	-0.371	-0.664	0.022	-0.822	-0.333	-0.318	-0.418	-0.253	-0.07	-0.058	0.014	-0.343
ENST00000020945.2	SNAI2	148	0.723	0.86	2.253	-2.71	1.787	1.048	0.759	0.684	0.831	0.296	0.795	1.329	0.84	0.8	0.433	0.505	0.466
ENST00000022615.8	VDAC3	1346	-0.473	-0.3	-0.644	-0.251	-0.746	-0.375	-1.014	-0.518	-1.185	-0.763	-1.154	-0.818	-0.369	-0.28	-0.332	-0.328	-0.718
ENST00000025008.9	RB1CC1	298	0.511	-0.054	0.157	-0.169	-0.313	0.219	0.1	0.02	0.004	-0.189	0.52	-0.264	0.804	0.136	0.664	0.672	0.299
ENST00000025301.3	AKAP11	367	0.553	0.098	0.616	0.458	0.683	0.209	0.591	-0.246	0.675	0.351	0.757	-0.027	0.172	-0.099	0.037	0.28	0.326
ENST00000026218.9	PIGQ	131	1.313	1.117	0.346	0.633	0.034	0.025	0.325	0.329	0.301	0.117	0.406	0.35	-0.084	-0.078	0.045	0.009	0.274
ENST00000029410.9	B4GALT7	98	0.718	0.645	0.234	0.761	-0.106	-0	0.645	0.462	0.276	0.018	0.28	0.425	0.221	0.273	0.662	0.298	0.426
ENST00000033079.7	FAM13B	128	1.048	0.595	1.713	1.377	1.289	0.704	1.183	0.602	1.775	0.793	0.856	1.077	0.149	0.198	-0.137	-0.152	0.616
ENST00000035307.6	CHPF2	111	-1.686	-0.858	-0.484	-0.004	-1.436	-0.23	-0.866	-0.263	-0.832	-0.827	-0.815	-0.169	0.26	0.024	0.512	0.559	-0.498
ENST00000037243.6	GABARAPL2	776	-1.068	-0.358	-0.313	-0.006	-0.464	-0.407	-0.222	-0.028	-0.556	-0.666	-0.328	-0.663	-0.445	-0.492	-0.192	-0.298	-0.258
ENST00000037869.7	FAM136A	219	-0.134	-0.155	-0.785	-0.368	-0.532	-0.229	-0.453	-0.335	-0.606	-0.48	-0.755	-0.411	-1.119	-0.392	-0.703	-0.896	-0.807
ENST00000038176.7	NSMAF	100	-0.075	-0.199	-0.263	-0.198	-0.41	-0.374	0.234	0.213	-0.205	0.079	0.65	0.101	0.289	0.016	0.003	0.2	0.568
ENST00000039989.8	TTC17	276	-0.043	-0.2	0.539	0.208	0.687	0.315	0.763	0.203	0.785	0.478	0.675	-0.072	-0.058	-0.065	0.173	-0.013	0.298
ENST00000040663.7	MRI1	283	-0.466	-0.517	0.627	0.92	-0.283	0.07	-0.615	-0.294	-0.51	-0.54	-0.796	-0.123	-0.627	-0.332	-0.489	-0.563	-0.64
ENST00000040738.9	BOD1L1	353	0.394	0.345	0.745	0.272	0.94	0.308	0.661	0.066	0.919	0.729	0.872	0.462	0.754	0.372	0.652	0.709	0.715
ENST00000040877.1	TARBP1	271	-0.287	-0.531	0.475	1.055	-0.205	0.13	0.039	0.09	-0.048	0.261	0.082	0.156	0.293	0.066	0.27	0.347	0.116
ENST00000042381.8	FAM65A	146	-1.166	-0.261	-0.839	-0.626	-0.991	-0.306	-0.326	-0.039	-0.848	-0.082	-0.508	-0.249	0.187	0.204	0.11	0.325	-0.217
ENST00000044462.11	PSMA4	3852	-0.217	-0.152	0.006	0.047	-0.306	-0.005	-0.1	-0.38	-0.054	-0.23	-0.214	-0.232	0.112	-0.071	-0.253	0.065	-0.422
ENST00000046640.7	CTNS	156	-0.299	-0.292	-0.042	0.178	-0.458	0.242	-0.188	-0.116	-0.353	-0.142	0.178	-0.021	0.622	0.099	0.283	0.35	0.001
ENST00000053468.3	MRPS10	484	-0.251	0.118	-0.194	-0.285	0.034	0.054	0.186	0.299	-0.259	0.026	-0.295	-0.306	-0.306	0.139	-0.079	-0.142	0.107
ENST00000053867.7	GRN	1032	0.144	-0.063	-0.187	-0.156	0.434	0.371	0.103	0.204	-0.123	-0.457	0.025	0.219	-0.565	0.078	-0.291	-0.368	-0.018
ENST00000054666.10	VAMP3	285	-0.616	-0.285	-0.908	-0.856	-0.826	-0.28	-0.887	-0.118	-0.706	-0.631	-0.892	-0.298	-0.663	-0.011	-0.47	-0.748	-0.418
ENST00000054950.3	RCN1	1165	-0.584	-0.327	0.004	-0.029	-0.446	-0.151	-0.054	0.086	-0.054	-0.001	-0.007	-0.343	-0.455	-0.288	-0.329	-0.579	0.085
ENST00000055077.7	RFC2	761	0.655	-0.038	0.199	0.16	0.184	-0.182	0.159	-0.07	0.363	0.183	0.334	0.159	-0.086	0.034	0.042	-0.071	-0.05
ENST00000056233.3	NFE2L3	187	-1.018	-1.088	-0.367	-0.037	0.017	1.683	-0.368	-0.16	-0.59	-0.189	-0.429	-0.173	0.269	0.094	0.24	0.13	-0.299
ENST00000060969.5	SIKE1	259	0.052	-0.014	0.232	0.254	-0.529	-0.131	-0.085	0.269	-0.291	-0.057	0.405	-0.183	0.137	0.145	0.302	-0.008	0.237
ENST00000061240.6	TLL1	38	-0.67	-0.462	-0.332	2.055	0.315	-0.074	-0.624	-0.551	-0.966	-0.349	0.635	-0.358	1.874	-0.008	0.11	1.049	0.867
ENST00000064780.6	RELT	64	1.19	0.578	0.02	-0.218	0.513	-0.018	-0.061	-0.312	0.179	-0.1	0.022	0.241	-0.766	-0.235	-0.542	-0.784	0.015
ENST00000066544.7	CDC27	852	0.074	0.056	0.304	0.553	0.058	-0.066	0.276	-0.572	0.228	-0.051	0.02	-0.07	0.146	-0.14	-0.131	0.228	-0.292
ENST00000072516.7	IL1RAP	76	-0.39	-0.677	-0.109	0.148	0.424	0.281	0.055	-0.126	-0.04	-0.364	-0.253	-0.095	0.169	-0.271	0.047	-0.347	0.242
ENST00000072644.5	YIPF1	111	-0.151	0.081	0.037	0.102	-0.841	-0.806	-0.166	0.169	-0.385	-0.518	-0.255	-0.028	0.148	-0.002	0.462	0.277	-0.324
ENST00000072869.8	ADCK2	117	-2.073	-0.794	-2.02	-0.666	-2.112	-0.746	-1.229	-0.303	-1.575	-1.036	-0.756	-0.895	-0.288	-0.444	0.086	0.006	-0.271
ENST00000075120.11	SLC2A3	40	-0.01	-0.099	1.768	1.173	1.409	0.553	0.568	-0.062	0.799	0.685	0.011	-0.188	-2.863	0.037	0.795	0.597	0.278
ENST00000078429.8	GNA11	237	0.042	0.304	-0.216	-0.141	-0.584	0.027	-0.651	-0.17	-0.511	-0.296	-0.846	0.164	-0.222	0.015	-0.24	-0.387	-0.56
ENST00000078527.8	PIGV	39	-0.445	0.664	-0.386	-0.068	-0.22	0.177	0.727	1.388	0.708	0.972	1.073	-0.624	0.568	0.224	0.65	0.731	1.385
ENST00000080059.11	HDAC7	54	-0.892	-1.099	-0.474	-0.512	-0.053	-0.336	0.347	-0.072	-0.559	-0.935	-0.527	0.371	0.098	0.329	0.473	0.108	0.002
ENST00000081029.7	MRPS35	732	0.07	-0.063	0.083	0.432	-0.164	0.089	-0.235	-0.269	-0.253	-0.12	-0.067	-0.507	-0.347	-0.341	-0.244	-0.146	-0.245
ENST00000083182.7	APPBP2	353	0.066	-0.504	0.488	-0.049	0.919	0.058	0.379	-0.507	0.392	-0.189	0.952	0.49	0.649	-0.003	0.4	0.569	0.094
ENST00000085068.7	ISOC2	212	0.232	-0.159	0.042	-0.15	-0.505	-0.711	0.27	0.533	0.004	-0.158	0.032	0.175	-0.287	-0.059	-0.047	-0.375	0.028
ENST00000155674.9	CECR5	380	-0.171	0.218	-0.483	0.022	-0.673	-0.325	-0.285	0.198	-0.22	0.14	-0.089	-0.032	0.266	0.145	0.173	0.193	0.299
ENST00000156084.8	OTUD5	277	-0.24	-0.227	0.329	0.364	-0.056	-0.129	-0.299	-0.157	-0.241	-0.204	-0.016	-0.051	-0.019	-0.077	0.018	0.068	0.098
ENST00000156109.6	GPKOW	261	0.188	-0.314	0.242	0.152	0.298	0.273	0.081	0.176	0.259	0.039	0.009	0.328	0.252	-0.158	0.198	0.378	0.078
ENST00000156471.9	AQR	509	0.319	0.201	0.94	0.572	0.313	0.084	0.462	-0.36	0.44	0.356	0.371	0.506	0.852	0.157	0.2	0.731	0.139
ENST00000157812.6	PSMC4	1207	0.325	-0.002	-0.017	-0.067	-0.282	-0.261	0.025	-0.058	0.042	-0.138	-0.03	0.112	-0.289	-0.038	-0.177	-0.212	-0.205
ENST00000158771.8	DERL2	324	-0.105	0.074	0.258	0.151	-0.165	-0.224	-0.296	-0.396	-0.464	-0.357	-0.486	-0.404	-0.477	-0.189	-0.277	-0.378	-0.268
ENST00000159111.8	KDM4B	134	-0.12	0.273	-0.016	-0.358	0.769	0.342	0.143	-0.09	0.135	0.017	0.625	0.445	0.023	0.008	0.064	0.193	0.487
ENST00000160827.8	KIF22	740	-0.028	-0.095	0.035	-0.014	0.016	0.166	-0.058	-0.088	0.078	-0.139	-0.067	0.156	-0.143	-0.124	0.075	0.416	-0.066
ENST00000161863.8	YTHDC2	356	0.452	0.086	0.765	0.936	0.603	0.311	0.575	-0.384	0.82	0.446	0.871	0.423	0.733	0.069	-0.114	0.882	0.166
ENST00000162044.13	TMEM161A	521	-0.159	-0.05	-0.131	-0.013	0.152	0.047	-0.163	-0.043	0.045	0.179	0.048	0.138	-0.358	0.059	-0.189	-0.378	0.01
ENST00000162330.9	BCAR1	233	-0.476	-0.439	-0.206	-0.241	-0.103	0.041	-0.755	-0.517	-0.59	-0.476	-0.524	-0.247	-0.488	-0.316	-0.28	-0.223	-0.435
ENST00000162391.7	FOXJ2	88	-0.508	-0.5	0.217	0.252	0.028	0.191	-0.097	-0.09	0.182	-0.303	0.19	0.525	0.76	0.548	0.712	1.073	-0.009
ENST00000162749.6	TNFRSF1A	373	-1.013	-0.475	0.133	0.067	0.002	0.306	-0.145	0.662	-0.16	0.262	-0.177	0.309	0.58	0.619	0.715	0.319	0.403
ENST00000163416.6	GOLGA5	226	-0.216	0.046	-0.177	-0.3	0.149	0.046	0.24	0.117	0.297	0.134	0.277	0.155	0.72	0.345	0.633	0.656	0.042
ENST00000164305.9	PIGB	53	-0.337	0.093	0.475	1.125	0.269	0.378	0.407	0.186	-0.112	0.386	0.332	-0.073	0.011	0.35	0.017	0.462	0.272
ENST00000166345.7	TRIP13	661	0.046	-0.128	-0.042	-0.426	-0.235	-0.153	-0.15	-0.287	-0.218	-0.064	-0.001	-0.076	-0.246	-0.052	-0.175	-0.065	-0.177
ENST00000166534.8	P4HA2	244	-0.324	-0.509	0.592	-0.009	0.273	0.264	-0.112	-0.1	-0.283	-0.236	-0.302	0.503	0.345	0.285	0.025	0.449	-0.373
ENST00000168216.10	HSD17B10	1088	-0.183	-0.422	-0.124	-0.239	-0.169	-0.141	-0.464	0.03	-0.308	-0.261	-0.495	-0.354	-0.715	-0.241	-0.4	-0.443	-0.324
ENST00000169551.10	TIMM21	169	-1.798	-0.67	-1.049	-0.389	-0.568	-0.036	-0.695	-0.075	-0.692	-0.347	-0.71	-0.247	0.137	0.093	0.096	0.105	0.033
ENST00000170168.8	REXO1	100	-0.436	-0.273	-0.239	0.016	0.481	0.632	-0.351	-0.186	0.512	0.397	-0.687	-0.439	-0.43	-0.495	-0.081	-0.452	-0.371
ENST00000170447.11	MKRN2	388	0.192	0.246	0.231	-0.012	0.437	-0.126	0.066	0.095	0.401	0.216	0.271	0.027	0.063	-0.059	-0.049	0.01	0.098
ENST00000170564.6	GPATCH1	84	0.307	0.737	-0.084	-0.723	0.674	0.002	0.006	-0.171	0.198	-0.062	0.782	0.113	0.17	-0.016	0.113	0.316	0.995
ENST00000171111.9	KEAP1	262	-1.117	-0.943	-0.403	-0.16	0.126	-0.36	-0.396	-0.118	-0.607	-0.452	-0.454	-0.045	-0.013	-0.016	0.195	0.113	-0.48
ENST00000173527.5	ISOC1	398	-0.164	0.013	0.099	-0.054	-0.711	-0.325	0.007	0.095	-0.142	-0.04	-0.158	-0.098	-0.509	-0.06	-0.241	-0.393	-0.126
ENST00000173898.11	TRO	135	0.025	0.382	3.111	-0.267	0.432	0.683	0.133	-0.461	0.427	-0.074	0.108	0.346	0.371	0.075	0.007	0.702	0.379
ENST00000174618.4	MNT	86	0.486	-0.239	1.062	0.415	0.586	-0.145	0.9	0.583	0.753	0.282	0.479	1.144	1.363	1.11	1.393	1.249	0.254
ENST00000174653.3	AP3M2	228	1.666	0.868	0.73	0.652	0.227	0.648	0.893	0.453	1.43	1.185	1.096	0.75	0.707	0.653	0.54	0.502	0.759
ENST00000175091.4	LAPTM4A	2250	-1.172	-0.143	-0.307	0.128	-0.581	0.149	-0.766	-0.419	-0.982	-0.173	-0.504	-0.439	0.131	0.124	0.195	0.102	-0.163
ENST00000175506.8	ASNS	3183	0.173	-0.451	0.692	0.257	2.533	0.712	2.228	1.738	2.222	1.949	2.408	1.399	0.523	0.642	-0.424	0.02	2.061
ENST00000176643.10	ALDH3A2	606	-0.832	-0.209	-0.145	0.358	-0.353	0.112	-0.149	-0.182	-0.36	0.19	-0.079	0.181	0.336	0.342	0.263	0.493	-0.045
ENST00000176763.9	STK10	122	0.523	0.083	0.229	0.519	0.305	0.118	0.315	0.122	0.186	0.033	0.316	0.508	0.466	0.121	0.495	0.712	-0.124
ENST00000178638.7	CA12	60	-1.767	-0.462	-0.332	-0.753	-0.544	0.121	-0.466	-0.114	-1.124	-0.31	-0.48	0.19	-0.149	0.36	0.557	0.362	-0.201
ENST00000178640.9	MAP2K5	60	0.412	0.32	-1.18	0.148	0.297	0.085	0.652	0.561	0.277	0.565	0.509	-0.188	0.413	0.002	0.291	-0.066	0.647
ENST00000179259.5	TIGAR	241	0.035	-0.265	-0.479	-0.236	-0.126	-0.311	-0.34	-0.269	-0.166	-0.141	-0.327	-0.417	-0.284	-0.222	-0.205	-0.506	-0.516
ENST00000181839.8	CDK13	214	-0.992	0.169	0.426	0.101	-0.212	0.029	-0.689	-0.295	-0.711	-0.144	-0.543	-0.449	-0.21	-0.268	-0.148	0.38	-0.305
ENST00000182377.8	FAR2	185	0.074	-0.01	-0.285	-0.589	-0.324	0.163	-0.03	-0.287	0.086	-0.092	0.216	0.43	0.428	0.284	0.073	0.425	0.051
ENST00000182527.3	TRAM2	95	-0.684	-0.366	-0.077	0.05	-0.432	0.488	-0.538	-0.616	-0.587	-0.432	-0.123	-0.373	-0.448	0.279	-0.398	-0.401	-0.259
ENST00000184266.2	NDUFB4	2311	-0.15	-0.297	-0.982	-0.523	-0.874	-0.215	-0.213	-0.184	-0.298	-0.476	-0.411	-0.066	-0.369	0.034	-0.292	-0.561	-0.587
ENST00000184956.10	HEATR6	298	0.245	0.354	0.747	0.502	0.685	0.146	0.845	0.369	0.96	0.875	1.044	0.647	0.839	0.487	0.828	0.923	0.492
ENST00000185150.8	ERLEC1	203	-0.257	-0.03	-0.112	-0.016	-0.806	-0.198	-0.272	0.044	-0.759	-0.607	-0.355	-0.751	-0.036	-0.336	0.045	-0.075	0.022
ENST00000186436.9	TMEM131	434	-1.523	-0.137	-0.016	0.464	0.034	0.587	-0.044	-0.149	-0.528	0.169	0.023	-0.411	-0	0.156	0.104	0.16	0.316
ENST00000188312.6	ACTR6	414	-0.319	-0.049	0.521	0.38	0.561	0.235	0.089	-0.026	-0.191	-0.198	0.006	-0.12	0.105	0.096	0.001	0.204	0.123
ENST00000190611.8	OSBPL6	146	-0.244	-0.299	-0.406	-0.545	0.682	0.042	0.576	0.387	0.141	-0.203	0.302	0.042	0.662	0.045	0.087	0.242	0.425
ENST00000192788.5	UHRF1BP1	247	0.112	0.066	0.318	0.186	1.272	0.159	1.243	1.228	1.179	1.184	1.159	0.655	0.701	0.501	0.614	0.37	1.215
ENST00000193322.7	OSTM1	142	-0.082	0.179	0.071	0.612	-0.514	0.035	-0.567	-0.289	-0.674	-0.325	-0.572	-0.498	-1.199	-0.128	-0.97	-1.388	-0.211
ENST00000193403.10	ACTN1	1038	-0.605	-0.319	0.036	-0.06	0.229	0.27	-0.523	-0.744	-0.395	-0.359	-0.685	0.152	-0.205	0.037	-0.346	0.044	-0.296
ENST00000194118.8	KIAA0141	233	0.883	1.189	0.001	0.336	0.212	-0.087	0.699	0.651	0.603	0.968	0.506	0.397	0.213	0.459	0.139	0.244	0.436
ENST00000194214.9	HSPB11	359	-0.559	0.053	-1.192	-0.563	-0.978	-0.328	-0.765	-0.228	-1.116	-1.066	-0.939	-0.719	0.016	-0.113	0.189	-0.122	-0.664
ENST00000194530.7	STRADB	67	0.247	0.572	-1.162	-0.267	-1.189	-1.639	0.245	0.498	-0.936	-0.304	-0.302	-0.145	0.502	-0.338	0.428	0.023	-0.103
ENST00000196061.4	PLOD1	817	0.178	0.023	0.319	-0.062	0.447	0.227	0.29	-0.198	0.22	-0.229	0.048	0.392	-0.734	0.096	-0.472	-0.455	-0.356
ENST00000196169.7	TDRD3	78	-0.001	-0.016	0.237	0.027	0.251	0.144	0.403	0.101	0.887	0.679	-0.091	0.06	-0.457	0.023	-0.457	-0.016	0.049
ENST00000196371.9	OXCT1	848	0.157	-0.075	0.368	0.08	-0.131	0.025	0.399	0.358	0.31	0.057	0.229	0.219	0.12	0.04	-0.02	0.395	0.185
ENST00000196482.3	ZNF324	64	1.214	0.368	0.281	0.893	0.432	-0.159	1.017	0.859	0.298	0.106	0.957	0.612	-0.185	-0.025	0.063	0.087	0.958
